"all _ image _ url","Occurrence status assumed to be present","Basis of record badly formed","Coordinate precision not valid","Coordinates dont match supplied country","Country inferred from coordinates","Data are generalised","Coordinates converted to WGS84","First of the month","First of the year","Geodetic datum assumed WGS84","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Collector name unparseable","Unrecognized geodetic datum"
"","true","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false"
"","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","false","true","false","false","false","false","false"
"","true","false","false","false","false","false","false","false","false","true","true","false","false","false","false"
"02f70897-ebbe-4608-a419-c6bfaaa08417","false","false","false","false","true","false","false","false","false","false","false","false","false","false","false"
"","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false"
